Year,Lat,Lon,SST
2023,42.712667,-66.015333,27.75
2018,45.1605,-65.936333,25.39
2018,44.130667,-67.117667,25.39
2023,45.060667,-66.387,27.75
2018,42.613,-65.731167,25.39
2023,42.613,-65.731167,27.75
2023,42.866667,-62.816667,27.75
2018,42.561333,-66.036167,25.39
2023,44.352333,-67.021667,27.75
2023,42.1595,-66.497167,27.77
2018,44.6495,-65.989,25.38
2018,42.1685,-66.3655,25.38
2018,43.631167,-66.9405,25.38
2023,42.9875,-62.214333,27.77
2023,43.441,-67.243667,27.77
2018,44.449833,-66.193667,25.47
2023,45.050333,-66.342,27.77
2023,41.299667,-66.396333,27.77
2023,45.144833,-65.945833,27.77
2023,42.571667,-66.214,27.77
2023,42.571667,-66.214,27.78
2023,41.987667,-66.675333,27.78
2023,42.6435,-65.696667,27.78
2023,43.839667,-66.856,27.78
2018,41.632667,-66.054,25.61
2023,42.474167,-65.691333,27.78
2023,42.7375,-65.908833,27.78
2023,42.814833,-66.836667,27.78
2023,45.144833,-65.945833,27.78
2023,44.567333,-66.078,27.75
2023,42.168833,-66.6385,27.75
2023,42.6275,-66.756667,27.75
2023,42.6275,-66.756667,27.75
2018,45.236833,-65.636833,25.61
2023,45.0965,-66.308667,27.75
2023,44.165833,-66.356833,27.75
2023,45.356667,-65.377667,27.75
2018,42.747167,-66.198667,25.61
2023,42.747167,-66.198667,27.75
2023,43.907,-63.156,27.75
2023,42.1595,-66.497167,27.75
2023,45.073167,-66.3755,27.75
2023,42.680833,-66.941833,27.75
2018,42.703333,-66.858667,25.75
2023,42.7375,-65.908833,27.78
2023,42.755167,-66.111167,27.78
2023,42.7375,-65.908833,27.78
2018,45.236833,-65.636833,25.75
2018,44.754333,-66.706833,25.34
2023,44.735167,-66.669833,27.78
2023,45.1085,-66.072,27.78
2023,42.6935,-66.243167,27.78
2018,42.730333,-66.064833,25.31
2023,45.147667,-65.844,27.78
2023,42.730333,-66.064833,27.78
2023,41.924333,-66.693167,27.78
2023,42.6025,-66.0665,27.78
2023,42.723333,-66.416,27.78
2023,42.6025,-66.0665,27.78
2018,44.1675,-66.869167,25.31
2018,41.397667,-66.137667,25.38
2023,42.449,-65.456833,27.78
2023,42.713833,-66.074333,27.78
2023,42.3815,-67.0685,27.78
2023,42.6935,-66.243167,27.78
2023,44.905,-66.727,27.78
2023,42.319833,-65.245667,27.78
2023,43.983667,-66.4145,27.78
2023,45.341167,-65.383667,27.78
2018,42.5815,-65.900333,25.38
2023,42.738667,-66.265667,27.78
2023,42.560333,-65.993833,27.78
2023,44.098,-63.419333,27.78
2023,41.896667,-66.025333,27.78
2018,45.2595,-65.1605,25.38
2023,44.6495,-65.989,27.78
2018,42.1685,-66.3655,25.38
2018,45.344667,-65.300833,25.38
2023,43.095667,-62.2455,27.78
2023,44.449833,-66.193667,27.78
2023,42.2175,-66.319167,27.78
2018,42.515333,-65.684333,26.29
2023,45.234833,-64.9495,27.78
2023,45.111,-66.160833,27.78
2023,42.2835,-65.680167,27.78
2018,42.534333,-65.6665,26.29
2023,43.986333,-66.407333,27.78
2023,44.449833,-66.193667,27.78
2023,44.735167,-66.669833,27.78
2023,42.668,-65.484333,27.78
2023,42.017,-66.427333,27.78
2023,42.514167,-65.785,27.78
2023,42.514167,-65.785,27.77
2023,45.236833,-65.636833,27.75
2023,42.115667,-67.047333,27.75
2018,43.916833,-66.4205,25.61
2018,42.168833,-66.6385,26.29
2023,43.923167,-59.307667,27.75
2023,42.2175,-66.319167,27.75
2018,43.033333,-66.966667,25.61
2023,42.8335,-65.7175,27.75
2018,42.560333,-65.993833,25.59
2023,42.560333,-65.993833,27.75
2023,42.466667,-65.816667,27.75
2023,43.916,-66.497,27.75
2023,44.551833,-66.128333,27.75
2023,42.509833,-65.632667,27.75
2018,42.282667,-65.598667,25.59
2018,45.2345,-65.456167,25.65
2023,42.554,-65.361167,27.75
2018,44.551833,-66.128333,25.67
2023,42.168833,-66.6385,27.75
2023,45.2975,-64.918,27.75
2018,44.665,-65.935,25.67
2018,45.060667,-66.387,25.67
2023,42.258833,-65.428333,27.75
2018,42.509833,-65.632667,25.67
2018,43.484667,-60.1665,25.67
2023,45.123667,-65.839167,27.75
2023,42.738667,-66.265667,27.75
2018,42.738667,-66.265667,25.67
2018,43.090333,-65.227333,25.67
2018,42.712667,-66.015333,25.67
2018,43.0255,-61.851,25.74
2023,45.103667,-66.189167,27.75
2023,45.123667,-65.839167,27.75
2023,44.87,-66.792833,27.75
2018,42.219667,-66.271333,25.61
2018,42.715833,-65.935833,25.61
2018,42.925167,-65.534333,25.61
2023,43.9315,-66.3845,27.76
2023,43.579667,-60.6145,27.74
2023,44.449833,-66.193667,27.76
2023,41.3675,-66.4215,27.75
2023,42.470833,-66.573667,27.75
2023,45.2345,-65.456167,27.75
2023,45.187667,-65.724667,27.76
2023,45.020667,-66.543333,27.76
2023,41.565333,-66.592333,27.76
2023,43.105333,-66.9195,27.75
2023,42.738667,-66.265667,27.75
2023,44.208833,-66.342,27.75
2023,45.020667,-66.543333,27.75
2023,45.366,-65.257667,27.75
2023,42.743333,-66.584167,27.75
2023,45.020667,-66.543333,27.75
2023,45.050333,-66.342,27.75
2018,45.187667,-65.724667,25.59
2023,41.886167,-66.5225,27.75
2023,42.017,-66.427333,27.75
2018,42.725333,-67.489167,26.29
2018,45.3105,-65.040833,26.29
2018,44.208833,-66.342,26.25
2018,45.172333,-65.674333,26.29
2018,44.142,-66.403833,26.29
2018,42.618167,-65.393667,26.29
2018,45.114833,-65.9215,26.29
2018,41.512667,-66.149167,26.29
2018,43.451,-65.020167,26.29
2018,42.298333,-66.676833,26.29
2018,44.095833,-66.305,26.29
2018,43.983667,-66.4145,26.29
2018,44.357833,-66.672333,26.29
2018,45.0965,-66.308667,26.29
2018,43.818167,-66.332167,26.29
2018,44.846,-66.754,26.29
2018,44.754333,-66.706833,26.29
2018,45.2975,-64.918,26.23
2018,45.061167,-66.381667,26.29
2018,45.015167,-66.608833,26.29
2018,45.231833,-65.636667,26.29
2018,45.0985,-65.851167,26.29
2018,45.147667,-65.844,26.29
2018,41.3875,-66.256667,26.29
2018,45.0985,-65.851167,26.29
2018,44.735167,-66.669833,26.29
2018,45.020667,-66.543333,26.29
2018,44.614167,-66.437667,26.29
2018,42.024,-65.877833,26.29
2018,42.057833,-66.775167,26.24
2018,45.099667,-65.806,26.29
2018,44.567333,-66.078,26.29
2018,41.896667,-66.025333,26.29
2018,41.896667,-66.025333,26.29
2018,44.905,-66.727,26.29
2018,43.216333,-61.624833,26.29
2018,43.105333,-66.9195,26.29
2018,43.216333,-61.624833,26.29
2018,44.204,-66.519667,26.29
2018,45.111,-66.160833,26.29
2018,44.449833,-66.193667,26.25
2018,42.705667,-65.968833,26.29
2018,44.286833,-66.4835,26.29
2018,42.715833,-65.935833,26.29
2018,43.916833,-66.4205,26.29
2018,42.7245,-66.071,26.29
2018,45.111,-66.160833,26.29
2018,45.050833,-65.530333,26.29
2018,42.3955,-66.326667,26.29
2018,43.282333,-66.619167,26.29
2018,45.397333,-65.249,26.29
2018,45.015167,-66.608833,26.29
2018,42.575167,-65.681167,26.29
2018,45.020667,-66.543333,26.29
2018,45.020667,-66.543333,26.29
2018,42.731167,-66.097333,26.29
2018,43.2715,-61.7295,26.25
2018,42.913333,-66.989833,26.25
2018,45.203333,-65.6045,26.23
2018,45.1605,-65.936333,26.29
2018,42.906667,-67.4835,26.29
2018,42.507833,-65.428,26.29
2018,42.906667,-67.4835,26.29
2018,42.2295,-66.414667,26.29
2018,45.060333,-66.2215,26.29
2018,42.738667,-66.265667,26.29
2018,42.6025,-66.0665,26.29
2018,42.712667,-66.015333,26.29
2018,43.983667,-66.4145,26.29
2018,44.926167,-65.471833,26.29
2018,42.580167,-66.0305,26.29
2018,45.060667,-66.387,26.29
2018,45.096333,-66.037667,26.29
2018,45.022167,-66.5745,26.29
2018,45.050333,-66.342,26.29
2018,45.020667,-66.543333,26.29
2018,42.7375,-65.908833,26.29
2018,42.313167,-66.996167,26.29
2018,42.731167,-66.097333,26.29
2018,44.931667,-66.0815,26.29
2018,41.896667,-66.025333,26.29
2018,44.165833,-66.356833,26.29
2018,43.444833,-66.571833,26.29
2018,44.8165,-66.585833,26.24
2018,45.321333,-65.066333,26.29
2018,42.55,-65.7,26.29
2023,44.898167,-65.517167,27.75
2018,44.41,-66.8305,25.59
2018,44.665,-65.935,25.59
2018,44.665,-65.935,25.6
2018,44.095833,-66.305,25.39
2018,45.022167,-66.5745,25.39
2018,41.879667,-66.4305,26.29
2018,41.879667,-66.4305,26.29
2018,45.020667,-66.543333,26.29
2018,43.743,-67.243333,26.29
2018,43.3245,-62.581667,26.29
2018,44.583333,-66.583333,26.29
2018,45.187667,-65.724667,26.29
2018,43.216167,-67.517667,26.29
2018,42.086,-66.142333,26.29
2018,45.020667,-66.543333,26.29
2018,45.1895,-65.535833,26.24
2018,45.211,-65.347,26.24
2018,45.414667,-65.116333,26.24
2018,43.921667,-67.126333,26.23
2018,44.979667,-66.555833,26.24
2018,42.580167,-66.0305,26.23
2018,45.2515,-65.5775,26.25
2018,45.058333,-65.776667,26.25
2018,41.900833,-66.320167,26.25
2018,45.116,-66.071167,26.25
2018,42.571667,-66.214,26.25
2018,42.580167,-66.0305,26.25
2018,42.571667,-66.214,26.29
2023,43.495,-64.2505,27.75
2018,41.625,-66.6565,26.29
2018,45.029,-66.655333,26.29
2018,42.255833,-66.134833,26.29
2018,41.900833,-66.320167,26.29
2018,45.0965,-66.308667,26.29
2018,42.787667,-66.209667,26.29
2018,45.1605,-65.936333,26.29
2018,45.0965,-66.308667,26.29
2018,42.466667,-65.8,26.29
2018,45.0965,-66.308667,26.29
2018,43.883333,-59.616667,26.29
2018,41.896667,-66.025333,26.29
2018,41.8005,-66.121,26.29
2018,42.723333,-66.416,26.29
2018,42.6025,-66.0665,26.29
2018,45.022167,-66.5745,26.25
2018,42.730333,-66.064833,26.25
2018,45.129667,-65.0485,26.23
2018,45.099667,-65.806,26.25
2018,45.1955,-65.469333,26.23
2018,42.561333,-66.036167,26.25
2018,41.9735,-66.204667,26.23
2018,42.567833,-66.158167,26.25
2018,44.846,-66.754,26.23
2018,42.579167,-65.619333,26.29
2018,42.672333,-64.428333,26.29
2018,42.5725,-67.4655,26.29
2018,42.579333,-66.7685,26.29
2018,45.060667,-66.387,26.29
2018,42.2295,-66.414667,26.29
2018,42.7375,-65.908833,26.29
2018,45.2515,-65.5775,26.29
2018,44.680167,-65.908167,26.29
2018,41.919667,-65.975,26.29
2018,45.116,-66.071167,26.29
2018,44.467833,-66.4585,26.29
2018,44.868,-65.605667,26.29
2018,42.42,-66.352333,26.29
2018,42.827667,-65.9105,26.29
2018,42.42,-66.352333,26.29
2018,44.467833,-66.4585,26.29
2018,45.129333,-66.116667,26.29
2018,41.771167,-65.815167,26.24
2018,45.060667,-66.387,26.25
2018,45.2515,-65.5775,26.29
2018,45.060667,-66.387,26.29
2018,45.116,-66.071167,26.29
2023,41.771167,-65.815167,27.75
2023,42.712667,-66.015333,27.75
2018,42.741833,-65.993167,25.76
2018,44.981333,-65.466667,25.76
2018,44.981333,-65.466667,25.76
2018,43.783833,-60.864667,25.76
2018,42.738667,-66.265667,25.76
2018,44.730667,-66.8915,25.76
2018,45.211,-65.347,25.76
2018,42.384167,-65.119167,25.82
2018,45.236833,-65.636833,25.82
2018,42.747167,-66.198667,25.82
2018,42.537,-64.983667,25.94
2018,42.477333,-65.698167,25.94
2018,42.474167,-65.691333,25.94
2018,42.379667,-66.352167,25.96
2018,44.459333,-66.384333,25.96
2018,42.747167,-66.198667,25.93
2018,42.755167,-66.111167,25.96
2018,44.961333,-65.889833,26.02
2018,44.419333,-66.256167,25.89
2018,45.020667,-66.543333,26.03
2018,44.165833,-66.356833,26.1
2018,42.712667,-66.015333,26.23
2018,45.1075,-65.919167,26.23
2018,44.130667,-67.117667,26.24
2018,44.169333,-67.0855,26.29
2018,42.640167,-66.082833,26.29
2018,42.1595,-66.497167,26.29
2018,45.188,-65.354833,26.29
2018,45.414667,-65.116333,26.29
2018,43.505833,-67.400167,26.29
2018,45.060667,-66.387,26.29
2018,45.060667,-66.387,26.29
2018,43.986333,-66.407333,26.29
2018,44.868,-65.605667,26.29
2018,45.2515,-65.5775,26.25
2018,42.474167,-65.691333,26.29
2018,42.8145,-65.557833,26.29
2018,42.1685,-66.3655,26.29
2018,44.146333,-66.512333,26.29
2018,41.299667,-66.396333,26.29
2018,42.2815,-67.164833,26.29
2018,42.6,-66.496667,26.29
2018,43.818167,-66.332167,26.29
2018,42.271333,-66.460833,26.29
2018,45.061167,-66.381667,26.29
2018,44.4265,-66.839333,26.29
2018,42.571667,-66.214,26.29
2018,42.319833,-65.245667,26.29
2018,42.7375,-65.908833,26.29
2018,42.561333,-66.036167,26.29
2018,41.625,-66.6565,26.29
2018,42.7375,-65.908833,26.29
2018,44.467833,-66.1875,26.29
2018,42.595333,-65.733167,26.29
2018,44.809,-66.892833,26.29
2018,45.103667,-66.189167,26.29
2018,42.7375,-65.908833,26.29
2018,43.946333,-66.55,26.29
2018,42.774,-65.353833,26.29
2018,42.168833,-66.6385,26.29
2018,45.0965,-66.308667,26.29
2018,44.1725,-67.154167,26.29
2018,44.889833,-66.207333,26.29
2018,42.755167,-66.111167,26.29
2018,45.1605,-65.936333,26.29
2018,42.6275,-66.756667,26.29
2018,45.2515,-65.5775,26.29
2018,43.818167,-66.332167,26.29
2018,43.916,-66.497,26.29
2018,44.467833,-66.1875,26.29
2018,44.754333,-66.706833,26.29
2018,44.735167,-66.669833,26.29
2018,42.7375,-65.908833,26.29
2018,44.754333,-66.706833,26.29
2018,45.236833,-65.636833,26.29
2018,45.244833,-64.915833,26.29
2018,44.809,-66.892833,26.29
2018,44.146333,-66.512333,26.29
2018,42.730333,-66.064833,26.29
2018,42.6935,-66.243167,26.29
2018,45.160833,-65.217167,26.29
2018,42.686667,-64.344,26.29
2018,42.783667,-63.5655,26.29
2018,42.184333,-65.4405,25.76
2018,42.348333,-65.709833,26.29
2018,43.1735,-61.436667,26.29
2018,43.040667,-67.330167,26.29
2018,45.3715,-65.2595,26.29
2018,42.4255,-66.8725,26.29
2018,42.561333,-66.036167,26.25
2018,45.1085,-66.072,26.25
2018,42.712667,-66.015333,26.29
2018,45.0195,-66.1575,26.29
2018,45.1085,-66.072,26.29
2018,45.032833,-65.970833,26.29
2018,43.986333,-66.407333,26.29
2018,42.515333,-65.684333,26.29
2018,42.184333,-65.4405,26.29
2018,45.1085,-66.072,26.29
2018,45.234833,-64.9495,26.29
2018,45.015167,-66.608833,26.25
2018,43.986333,-66.407333,26.29
2018,43.916833,-66.4205,26.25
2018,41.896667,-66.025333,26.29
2018,42.433167,-65.472333,26.29
2018,42.7035,-66.097667,26.29
2018,44.781333,-65.78,26.29
2018,43.818167,-66.332167,26.29
2018,45.050333,-66.342,26.29
2018,44.2575,-66.67,26.29
2018,42.5445,-65.839,26.23
2018,42.7035,-66.097667,26.29
2018,42.168833,-66.6385,26.29
2018,42.613,-65.731167,26.29
2018,42.7415,-66.0045,26.29
2018,42.712667,-66.015333,26.24
2018,44.795,-65.759667,26.29
2018,42.168833,-66.6385,26.29
2018,43.133333,-67.1,26.29
2018,45.012667,-66.558667,26.29
2018,43.916833,-66.4205,26.29
2018,45.144333,-65.989167,26.29
2018,42.803,-66.944833,26.29
2018,42.933167,-62.3765,26.29
2018,42.738667,-66.265667,26.29
2018,45.091333,-66.214333,26.29
2018,45.1605,-65.936333,26.29
2018,42.2175,-66.319167,26.29
2018,42.549333,-66.980167,26.29
2018,42.6175,-65.3345,26.29
2018,44.567333,-66.078,26.29
2018,44.7295,-65.912667,26.29
2018,42.738667,-66.265667,26.29
2018,42.5815,-65.900333,26.29
2018,42.7245,-66.071,26.29
2018,45.0795,-65.603167,26.25
2018,44.095833,-66.305,26.25
2018,45.144333,-65.989167,26.29
2018,43.565833,-62.033667,26.25
2018,43.352333,-61.0445,26.29
2018,44.905,-66.727,26.25
2018,44.903333,-66.872833,26.25
2018,42.712667,-66.015333,26.29
2018,42.7405,-64.192,26.29
2018,44.903333,-66.872833,26.29
2018,45.2975,-64.918,26.29
2018,45.366,-65.257667,26.25
2018,44.864167,-65.846167,26.25
2018,42.7405,-64.192,26.24
2018,42.298333,-66.676833,26.24
2018,43.658333,-64.6585,26.29
2018,42.55,-64.716667,26.24
2018,42.715833,-65.935833,26.29
2018,42.526333,-64.731667,26.29
2018,43.462,-60.383,26.29
2018,43.462,-60.383,26.24
2018,42.8275,-65.469333,26.24
2018,45.231833,-65.636667,26.23
2018,43.362833,-67.269333,26.23
2018,42.394333,-65.027167,26.29
2018,44.665,-65.935,26.29
2018,44.208833,-66.342,26.24
2018,45.414667,-65.116333,26.29
2018,43.095667,-67.212667,26.29
2018,44.095833,-66.305,26.29
2018,42.75,-66.716667,26.24
2018,42.8335,-65.7175,26.29
2018,45.050333,-66.342,26.29
2018,45.351667,-65.1605,26.29
2018,43.793667,-66.399833,26.29
2018,42.6,-66.496667,26.29
2018,44.918833,-66.5125,26.29
2018,43.983667,-66.4145,26.29
2018,44.103833,-66.362667,26.29
2018,44.567333,-66.078,26.29
2018,42.115667,-67.047333,26.29
2018,42.017,-66.427333,26.29
2018,44.735167,-66.669833,26.29
2018,43.444833,-66.571833,26.29
2018,45.029,-66.655333,26.29
2018,42.534333,-65.6665,26.29
2018,44.87,-66.792833,26.29
2018,45.116,-66.071167,26.29
2018,42.991333,-62.327833,26.29
2018,43.450167,-60.3755,26.29
2018,42.115667,-67.047333,26.29
2018,42.402,-65.747667,26.29
2018,42.730333,-66.064833,26.29
2018,44.7245,-66.643333,26.29
2018,45.414667,-65.116333,26.29
2018,42.730333,-66.064833,26.29
2018,44.6045,-66.524167,26.24
2018,45.231833,-65.636667,26.29
2018,45.0985,-65.851167,26.29
2018,45.3105,-65.040833,26.29
2018,43.916833,-66.4205,26.29
2018,45.022167,-66.5745,26.29
2018,42.640167,-66.016167,26.29
2018,44.393333,-66.739833,26.29
2018,42.6835,-65.141667,26.29
2018,41.824167,-66.458167,26.29
2018,44.795,-65.759667,26.29
2018,42.298333,-66.676833,26.29
2018,45.147667,-65.844,26.29
2018,42.057833,-66.775167,26.29
2018,42.730333,-66.064833,26.29
2018,42.5095,-65.729667,26.29
2018,45.397333,-65.249,26.29
2018,45.060667,-66.387,26.29
2018,44.551833,-66.128333,26.29
2018,44.763833,-66.016833,26.25
2018,44.142667,-67.105333,26.29
2018,45.060333,-66.2215,26.29
2018,44.095833,-66.305,26.29
2018,43.185,-67.437167,26.29
2018,45.027667,-66.493833,26.29
2018,45.203333,-65.6045,26.29
2018,45.020667,-66.543333,26.29
2018,45.137,-65.434833,26.28
2018,42.7375,-65.908833,26.28
2018,42.313167,-66.996167,26.28
2018,45.147667,-65.844,26.28
2018,44.419333,-66.256167,26.29
2018,42.5095,-65.729667,26.29
2018,41.4245,-66.437833,26.29
2018,41.996167,-66.726833,26.29
2018,45.099667,-65.806,26.29
2018,42.730333,-66.064833,26.29
2018,42.6025,-66.0665,26.29
2018,43.216167,-67.517667,26.29
2018,41.824167,-66.458167,26.29
2018,42.6935,-66.243167,26.25
2018,43.444833,-66.571833,26.29
2018,42.783333,-64.15,26.29
2018,42.817667,-62.908333,26.25
2018,45.414667,-65.116333,26.29
2018,42.7375,-65.908833,26.29
2018,43.57,-67.1495,26.29
2018,45.231833,-65.636667,26.29
2018,45.020667,-66.543333,26.24
2018,44.158833,-66.545167,26.24
2018,45.020667,-66.543333,26.25
2018,45.022167,-66.5745,26.25
2018,45.015167,-66.608833,26.25
2018,44.850333,-65.6815,26.29
2018,42.6935,-66.243167,26.29
2018,44.208833,-66.342,26.29
2018,43.880833,-67.200667,26.29
2018,43.741,-67.376667,26.29
2018,44.095833,-66.305,26.29
2018,41.479833,-66.2505,26.29
2018,42.580167,-66.0305,26.29
2018,42.6725,-66.435833,26.24
2018,42.6725,-66.435833,26.29
2018,44.979667,-66.555833,26.29
2018,42.931167,-62.483833,26.29
2021,43.795,-66.278333,24.98
2021,44.802167,-66.7125,24.98
2018,45.178167,-65.427833,26.25
2018,45.321333,-65.066333,26.29
2018,43.095667,-67.212667,26.29
2018,42.471,-67.376833,26.25
2018,42.4735,-65.6615,26.25
2018,45.160833,-65.217167,26.29
2021,44.103833,-66.362667,24.98
2021,44.103833,-66.362667,24.98
2021,42.2285,-66.844833,24.98
2021,45.244,-65.083833,24.98
